------ Current Surface: Coil-Plasma -------
Number of fourier modes in table
151
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
     0     0  6.030036123812979E+00  0.000000000000000E+00  6.130463328533363E-02  0.000000000000000E+00 
     1     0 -2.993190448231115E+00 -4.135347656430061E+00 -7.219229395806240E-02 -6.918542559640802E-02 
     2     0  1.380678364146537E-01 -3.601374839542645E-01 -1.560847520896950E-02  1.001233251890592E-01 
     3     0  4.577589809862555E-01  6.787580321003034E-01  6.327765242118956E-02 -7.023448749783806E-02 
     4     0  1.343478672832768E-01  3.415842977201295E-01 -6.462863943505050E-02  1.401841412045181E-02 
     5     0 -1.190655574282058E-01 -8.294471418295482E-02  2.129846920313733E-02  1.491364674767412E-02 
     6     0 -8.659795444853191E-02 -9.458131263971421E-02  3.545514687291236E-02 -1.067966567286005E-02 
     7     0  5.006063122857085E-03 -2.515027025180307E-02 -3.726678594125261E-02 -4.099944856622680E-03 
     8     0  2.723856925780491E-02 -8.921601067075088E-03 -8.439582291465252E-03  1.271017290080733E-02 
     9     0  1.048566532870716E-02  2.593492943219149E-02  2.911085281549854E-02 -6.259520266810145E-03 
    10     0  1.146279150115750E-02  2.729238073421346E-02 -9.619466177177589E-03 -6.239659014252116E-03 
    11     0 -5.140081720034589E-03 -4.542240276284304E-04 -1.069703466493939E-02  8.228895188337323E-03 
    12     0 -1.378843588568817E-02  4.945121686038693E-03  1.072671081505573E-02 -1.790907571983107E-03 
    13     0 -1.465196668978657E-03  1.184832304700979E-03  1.813253973045089E-04 -2.628013221318475E-03 
    14     0  2.657004829202446E-03 -1.281809323886797E-02 -5.558085649525416E-03  2.455995514690370E-03 
    15     0  1.861093658251502E-03  4.976833375495322E-04  2.996460775399730E-03  9.855776793472972E-04 
    16     0  3.687560946502659E-03  1.374771590823577E-02 -6.397879700611711E-04 -3.335858739738378E-03 
    17     0  2.386674430827480E-03  2.850858152233862E-03 -1.649777488860801E-03  1.345498829197577E-03 
    18     0 -4.198986166025705E-03  3.056431415358093E-04  4.300154335314193E-03  1.370545283275742E-03 
    19     0 -3.340495929970247E-03  5.594475941361680E-03 -1.648804879279333E-03 -1.639260232419758E-03 
    20     0  1.826681520598350E-03 -2.760745269025633E-03 -3.782167316486549E-03  1.476267708138165E-04 
    21     0 -1.168458949778368E-05 -2.703350934696189E-03  4.245571839278610E-03  1.839256096729088E-03 
    22     0  8.976619815880856E-04  4.747509120024428E-03 -1.998304474686513E-04 -2.016992715638084E-03 
    23     0  2.096111294316715E-03  2.705533106561710E-03 -3.221874688539537E-03  7.869955243750920E-05 
    24     0 -1.055206044165680E-03  1.562413673172446E-03  2.306393370589854E-03  1.115197999932531E-03 
    25     0 -1.777632489761217E-03  3.557895907069420E-03  1.249137444854677E-03 -7.070063760135606E-04 
    26     0  3.989638219036754E-04 -4.065734199015617E-04 -2.350007258940886E-03 -2.671565684705290E-04 
    27     0 -1.727607073013950E-04 -1.069966769388909E-03  6.738942444281206E-04  9.600445680021729E-04 
    28     0  1.487068725787202E-04  2.380478686729221E-03  8.208479420985240E-04 -4.833145813237231E-04 
    29     0  9.515361584463153E-04  1.562569790570061E-03 -1.285742788306130E-03 -3.611174304201672E-04 
    30     0  3.750408035965059E-04  3.475098628309860E-04  4.640264525531347E-04  3.575493281192277E-04 
    31     0 -9.269381833673140E-04  2.905518781318071E-03  8.131553820141423E-04 -1.032898330668573E-04 
    32     0 -1.791446201659033E-04  1.500620465760687E-03 -8.878565618882569E-04 -1.375413280089776E-04 
    33     0 -1.350946231021382E-04 -5.546793253070846E-04  1.834120749387883E-04  4.193337694335928E-04 
    34     0  5.408128690299994E-05  5.755449324791001E-04  3.327177390789905E-04 -1.739848275551184E-04 
    35     0  4.167986186192286E-04  1.211041362227896E-03 -6.803745116850091E-04 -1.606034551950234E-04 
    36     0  1.838721927745065E-04  9.559377314222316E-04  8.041267800718890E-05  8.589651661350568E-05 
    37     0 -8.949290682400085E-05  1.541320793134336E-03  6.502177570229986E-04 -1.415189579256554E-07 
    38     0 -2.774381293488980E-04  1.300713302285145E-03 -3.458423027055917E-04 -8.066339150856128E-05 
    39     0 -3.399154135205138E-05  2.178457682962456E-04 -2.104754222977452E-04  9.255330569607294E-05 
    40     0 -3.678413930436325E-05  5.597192464040255E-04  1.979145955192611E-04 -5.347157809721335E-06 
    41     0  1.369939513483900E-04  8.533333977985494E-04  4.372378808031794E-05  1.945449195148579E-04 
    42     0 -1.070494761701580E-04  7.593136691198907E-04 -2.329606885705472E-04 -2.442247767035378E-04 
    43     0  2.293554826138911E-04  6.948667889593398E-04  1.400169242527757E-04 -6.235883537962220E-05 
    44     0  9.921454874842405E-05  1.047745225449739E-03 -3.944686160611392E-05  7.153525764648220E-05 
