------ Current Surface: Coil-Plasma -------
Number of fourier modes in table
151
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
    45     0  8.438804375003814E-06  5.539565645910606E-04  4.748241331757152E-05 -1.292061707962050E-04 
    46     0 -3.854857872545629E-05  4.427443456523824E-04 -3.397485722397874E-04  2.475987634923671E-05 
    47     0  1.114523768415776E-05  3.091472198003345E-04 -5.248398424763344E-04  3.046562676545215E-04 
    48     0 -1.437770726759693E-04  2.009285209567911E-04 -1.050422195835563E-04 -7.192614097057365E-05 
    49     0  4.629267554856322E-05  3.775107730232289E-04  1.359336306474289E-05 -1.125366395465548E-04 
    50     0  7.691232008457106E-05  4.814144028058719E-04 -7.905378893004377E-05 -1.065706294973611E-04 
    51     0  1.033621778731079E-04  4.735395553411344E-04 -4.516913525297575E-04  1.187532680617995E-04 
    52     0 -5.250853483782501E-05  2.301380943307383E-04 -3.033976525861553E-04 -3.196139612788475E-07 
    53     0 -7.601914218420623E-05  2.123229608909648E-04  2.149702195345002E-05 -1.879804296847944E-05 
    54     0 -4.740833509802422E-05  3.704176448207814E-04  7.032503286776514E-05 -4.993992476455893E-05 
    55     0  9.638901953057082E-05  5.421531216818689E-04 -2.905822623840479E-04  8.790008121238746E-05 
    56     0 -3.754082094428449E-05  4.116006471062738E-04 -2.703875748056857E-04  5.764914315192704E-05 
    57     0 -1.571688065643327E-05  2.783855560319400E-04 -7.918306685065690E-05 -1.898334226025828E-05 
    58     0 -1.547729945242008E-05  2.349862602860454E-04  2.819336202256521E-05 -1.448812769006594E-04 
    59     0  7.698685826677198E-05  4.098070103775535E-04 -1.690238700684285E-04 -2.812010698995577E-06 
    60     0  7.102876586554976E-05  5.042696294858013E-04 -3.155015232299138E-04  7.283236923939051E-05 
    61     0 -1.001060713341919E-04  2.851878881675532E-04 -8.539531775507570E-05  2.265020042397903E-05 
    62     0 -9.713230956081866E-05  2.599036168908511E-04  1.531469592097258E-04  1.368322263043377E-05 
    63     0  3.091704000592327E-05  4.681285432932151E-04  1.720409127284416E-05  1.866666323875478E-05 
    64     0  7.455296343456890E-05  4.973938639910125E-04 -2.984737212136576E-04  1.878202926829026E-05 
    65     0  1.227957969022784E-05  2.969066220992376E-04 -1.393946947201296E-04 -1.158519883917982E-04 
    66     0  1.653515663517506E-05  2.491168932192098E-04 -3.456242328983741E-06 -4.915553054040968E-05 
    67     0 -2.857897711648500E-05  3.311406008670146E-04 -4.719971135587653E-05  8.859282227596476E-05 
    68     0 -3.144877786179971E-05  4.557422158575358E-04 -4.522083654967219E-05  5.422931560545800E-05 
    69     0  4.052654284145579E-06  4.645619685838908E-04  7.167961497774455E-05 -5.008729010646039E-05 
    70     0 -1.125355098002367E-05  3.254156274218065E-04  3.995975443568104E-06  2.103102506997885E-05 
    71     0 -2.417944884794904E-05  2.747283880748974E-04 -1.538617305696646E-04  1.056004787737595E-04 
    72     0  5.529526936387512E-05  4.011551061161083E-04 -6.657874675631786E-05 -1.010306744003293E-04 
    73     0  4.489232598130043E-05  4.296784678407549E-04  5.630777202903815E-05 -1.477698421228991E-04 
    74     0  3.915578774267725E-06  3.351952168486761E-04  7.059099871437556E-05 -3.478517395730605E-05 
    75     0 -5.235969595663391E-05  3.055858426839151E-04 -9.991103606146176E-05  1.726692068129488E-04 
    76     0 -6.012525081443903E-05  3.300831573868138E-04 -6.236283040439241E-05  1.729604662101796E-04 
    77     0 -2.459568609872234E-05  4.281153618389905E-04  1.488150167671895E-04 -1.710563548002819E-06 
    78     0  5.342858571659146E-05  4.122361410797721E-04  2.167221322352703E-04 -2.300418088447255E-04 
    79     0  1.079012221632780E-04  3.670199431182653E-04 -2.283867894893565E-05 -1.470593573261587E-04 
    80     0  1.708267756692535E-05  2.878524267236626E-04 -1.977747039235545E-04  7.911947084646490E-05 
    81     0 -9.100462803049015E-05  3.160423630934885E-04 -7.004490747545183E-05  1.516259398393527E-04 
    82     0 -1.144646407103483E-04  3.282561272223299E-04  1.919873964326294E-04  9.294130552585211E-05 
    83     0  4.342571648226901E-05  4.371160107180978E-04  2.625061187246682E-04 -6.634024714973764E-06 
    84     0  8.852470345722031E-05  4.174148742094302E-04  1.291811979372814E-04 -1.008158154995613E-04 
    85     0  4.359957892382916E-05  3.289698559286440E-04 -3.515902340245520E-05 -1.168754813821611E-04 
    86     0 -4.360070113722769E-05  2.557688665725967E-04 -1.792075126994602E-05 -3.108318252244921E-05 
    87     0 -3.994643782254281E-05  3.375382635113304E-04  4.169532585147373E-05  8.218445890854669E-05 
    88     0 -1.527133957906351E-05  3.877336673443957E-04  1.130478087575481E-04  1.159372157190967E-04 
    89     0  3.079753599904892E-05  3.730256378588518E-04  1.649476473988459E-04  5.422953248399699E-05 
    90     0 -4.211037747101238E-06  3.263314503481964E-04  2.017656227276582E-04 -6.125424001762799E-05 
    91     0 -1.924233533389893E-05  2.962799550572089E-04  1.376827991653204E-04 -9.594567644573503E-05 
    92     0  3.106168581944129E-05  3.401514289623954E-04  1.077254708287952E-04 -7.731267141880369E-05 
    93     0  4.414278877274129E-05  3.537823419620748E-04  6.837249640839768E-05  2.666723617085249E-05 
    94     0 -3.785008510943474E-05  3.175260441367988E-04  7.738870497515661E-05  9.472294689649343E-05 
    95     0 -5.338621290262531E-05  2.826899526135903E-04  1.169910199926763E-04  9.314488433626156E-05 
    96     0 -3.306884130882809E-06  3.315215133391107E-04  2.216607635683367E-04 -2.432899309360344E-05 
    97     0  4.832274234602612E-05  3.509338912316239E-04  2.537279362388432E-04 -7.155276616467330E-05 
    98     0  3.034437250594684E-05  3.194722014533729E-04  2.040648015900509E-04 -8.436532797326954E-05 
    99     0 -1.448188322276028E-05  2.649471345042526E-04  1.069926964159332E-04 -4.764364456259535E-06 
   100     0 -4.124724487326405E-05  2.824941456255701E-04  7.080615040290454E-05  6.743414981697983E-05 
   101     0  1.516495629784082E-06  3.245579870224833E-04  1.649441653145164E-04  6.630927285361599E-05 
   102     0  2.288668462976353E-05  3.274406462447143E-04  2.426716280827128E-04  5.667884766601999E-06 
   103     0  2.462980057992244E-06  2.881826848518385E-04  2.573294183286044E-04 -3.103364938931802E-05 
   104     0 -1.566677222319338E-05  2.626474121578348E-04  1.956816279927074E-04 -3.759107361309417E-05 
   105     0  9.201104815768447E-07  2.773865245138863E-04  2.253715842431916E-04 -4.813801421475947E-05 
   106     0  1.900235962724058E-05  2.834074833596827E-04  1.915187145208441E-04  1.961265849832867E-05 
   107     0  7.324003387666184E-06  2.808299213614660E-04  1.815371132894464E-04  4.064923507654605E-05 
   108     0 -2.732979171728230E-05  2.492559602987411E-04  1.691458083691116E-04  3.945764261404144E-05 
   109     0 -1.352889182705942E-05  2.763190165324412E-04  2.599619668288449E-04 -3.072680073864502E-06 
   110     0  1.627957213680413E-05  2.832971376361063E-04  2.948842374167341E-04 -2.341986575995381E-05 
   111     0  1.581997649070836E-05  2.564628355291930E-04  2.683753817590961E-04 -3.569589915997186E-05 
   112     0  6.691206529654328E-06  2.138987751292292E-04  2.141483517155149E-04 -2.254735879873368E-05 
   113     0 -1.620124635031672E-05  2.306910263672973E-04  2.106120566827808E-04  2.040062007279471E-05 
   114     0 -1.129955882516995E-05  2.434361870120809E-04  2.423335148309559E-04  3.731333689361508E-05 
   115     0 -1.181898026628441E-06  2.578009791993640E-04  2.589227556377252E-04  2.395079755307258E-05 
   116     0  1.825534442533399E-05  2.352990895134952E-04  2.831776815858213E-04 -1.674293498965907E-05 
   117     0 -2.060475979484798E-06  2.235544745552990E-04  2.822652062794410E-04 -2.394522588887024E-05 
   118     0 -1.048539350335067E-05  1.960988121314013E-04  2.918079812821762E-04 -2.304257764244004E-05 
   119     0  1.253008198509256E-05  2.102272891972035E-04  2.626092743045551E-04  5.488888295859869E-06 
   120     0  5.285766054052430E-07  1.973154989743006E-04  2.627420086709931E-04  1.444695859215158E-05 
   121     0 -8.740587829918611E-06  1.988302259777731E-04  2.547423212021569E-04  1.706468821458698E-05 
   122     0 -1.420109583808763E-05  1.945832096791569E-04  3.038484763307073E-04  4.229642953384219E-06 
   123     0  1.341818020712361E-05  2.089310316900348E-04  3.125056400572256E-04  4.015992215992003E-06 
   124     0  5.743950602851157E-06  1.960156043043733E-04  3.190396548994082E-04 -1.532804575658040E-05 
   125     0  1.227260248230716E-05  1.588578261259187E-04  2.793316604502462E-04 -2.755541314223488E-05 
   126     0 -1.068554051550761E-05  1.364558641898170E-04  2.947645943822969E-04 -6.457995927072042E-06 
   127     0 -1.303659442822377E-05  1.558801576814182E-04  2.992205032947001E-04  2.859937164833491E-05 
